frequency_hz,gain_db
10000000.0,8.691762212821587
10232930.0,8.691768277239923
10471290.0,8.691806556417559
10715190.0,8.69181320480402
10964780.0,8.691852097453069
11220180.0,8.691859386810147
11481540.0,8.691898950470232
11748980.0,8.69193887333276
12022640.0,8.69194724153147
12302690.0,8.691987935942555
12589250.0,8.692029041851177
12882500.0,8.692070580302838
13182570.0,8.692112571000868
13489630.0,8.692123104659784
13803840.0,8.692166067063665
14125380.0,8.692209545771545
14454400.0,8.692253568746505
14791080.0,8.692298162718172
15135610.0,8.692375281663587
15488170.0,8.692421094104766
15848930.0,8.692467561660845
16218100.0,8.692514712886592
16595870.0,8.692594510853667
16982440.0,8.692643128047347
17378010.0,8.692724460561255
17782790.0,8.692774687722318
18197010.0,8.692857701491027
18620870.0,8.692909694805058
19054610.0,8.69299455529874
19498450.0,8.693080402764181
19952620.0,8.693167285461934
20417380.0,8.693255253719862
20892960.0,8.693344356376091
21379620.0,8.693434644144986
21877620.0,8.69355810047502
22387210.0,8.693650937573436
22908680.0,8.693777054789816
23442290.0,8.693904604559338
23988330.0,8.69400172439802
24547090.0,8.694132325864224
25118860.0,8.694264567804128
25703960.0,8.694430444518929
26302680.0,8.694566195218616
26915350.0,8.69473574323779
27542290.0,8.694875341912736
28183830.0,8.695048914094565
28840320.0,8.695224643657042
29512090.0,8.695434540796183
30199520.0,8.695614890821744
30902950.0,8.695829620422709
31622780.0,8.6960469446911
32359370.0,8.696266971089287
33113110.0,8.696489839429665
33884420.0,8.696747580699668
34673690.0,8.69700842940339
35481340.0,8.697272536826903
36307810.0,8.697540041793237
37153520.0,8.6978430170156
38018940.0,8.698149720276525
38904510.0,8.698460321692401
39810720.0,8.698806917458457
40738030.0,8.699157783728438
41686940.0,8.699545014647331
42657950.0,8.699936933065832
43651580.0,8.700333747465516
44668360.0,8.700767586993166
45708820.0,8.70120678412517
46773510.0,8.7016834828084
47863010.0,8.702166054554741
48977880.0,8.702686660057607
50118720.0,8.703213688147965
51286140.0,8.703779325528698
52480750.0,8.70435200660371
53703180.0,8.704995789777504
54954090.0,8.705615396904104
56234130.0,8.706306811256145
57543990.0,8.707006642251683
58884370.0,8.707747149659426
60255960.0,8.708528731928286
61659500.0,8.709319953404965
63095730.0,8.710184958295113
64565420.0,8.711060510024875
66069340.0,8.712010772616573
67608300.0,8.712972551129173
69183100.0,8.713978201308148
70794580.0,8.715060153509723
72443600.0,8.716155215882697
74131020.0,8.717327717730925
75857760.0,8.718546425387494
77624710.0,8.719843750472414
79432820.0,8.721188649072523
81283050.0,8.722581644981585
83176380.0,8.72405548322566
85113800.0,8.72557894273479
87096360.0,8.727184674985622
89125090.0,8.728873427245995
91201080.0,8.730614376774202
93325430.0,8.732472001098326
95499260.0,8.73438348791659
97723720.0,8.736413340636334
100000000.0,8.738531057406894
102329300.0,8.740737412586592
104712900.0,8.743033552431056
107151900.0,8.745452168479641
109647800.0,8.74796296941756
112201800.0,8.750630367745854
114815400.0,8.753392319520357
117489800.0,8.756281629433397
120226400.0,8.759299871826462
123026900.0,8.7624482714146
125892500.0,8.765759675490159
128825000.0,8.769235984031843
131825700.0,8.77284673612101
134896300.0,8.77662508739943
138038400.0,8.780572890058439
141253800.0,8.78472309602763
144544000.0,8.789046135027608
147910800.0,8.793575017570983
151356100.0,8.7982803324442
154881700.0,8.803226307864303
158489300.0,8.808383878633027
162181000.0,8.813786369688156
165958700.0,8.819435440023618
169824400.0,8.825301742125838
173780100.0,8.831450249513393
177827900.0,8.837882972092029
181970100.0,8.844601967007907
186208700.0,8.851609031953437
190546100.0,8.858937780643823
194984500.0,8.866590312309146
199526200.0,8.874569094162517
204173800.0,8.882906719613384
208929600.0,8.89157459647704
213796200.0,8.90066792369847
218776200.0,8.910126752118243
223872100.0,8.920015068911184
229086800.0,8.930303986253993
234422900.0,8.941056842658014
239883300.0,8.952275455819903
245470900.0,8.963930942169076
251188600.0,8.97611721428069
257039600.0,8.988804760111632
263026800.0,9.002025305135891
269153500.0,9.015810708284132
275422900.0,9.030131296916904
281838300.0,9.045078966582867
288403200.0,9.06062406937101
295120900.0,9.07679622223379
301995200.0,9.093595376279257
309029500.0,9.111112032874914
316227800.0,9.12931383254282
323593700.0,9.148230229412476
331131100.0,9.167888757573385
338844200.0,9.188287142776257
346736900.0,9.209510840602876
354813400.0,9.231527242826905
363078100.0,9.254360727259973
371535200.0,9.278065381537367
380189400.0,9.302635126433783
389045100.0,9.328122414763008
398107200.0,9.354518195308751
407380300.0,9.381872543253678
416869400.0,9.410176022851298
426579500.0,9.439475070899926
436515800.0,9.469758084899727
446683600.0,9.501097862837122
457088200.0,9.533450607831938
467735100.0,9.566887216046826
478630100.0,9.60141732234065
489778800.0,9.63702332801846
501187200.0,9.67374091855254
512861400.0,9.711576437691157
524807500.0,9.750562672617473
537031800.0,9.79067530960647
549540900.0,9.831969332170248
562341300.0,9.874417412344808
575439900.0,9.918017396287446
588843700.0,9.962791539160227
602559600.0,10.008735787533155
616595000.0,10.055866920538799
630957300.0,10.104150153297534
645654200.0,10.153575263111476
660693400.0,10.204181097275676
676083000.0,10.25590119027383
691831000.0,10.308746602920715
707945800.0,10.362699609951216
724436000.0,10.41774331861959
741310200.0,10.47385768464298
758577600.0,10.53099673192615
776247100.0,10.58914108786934
794328200.0,10.648292444530101
812830500.0,10.708355609583577
831763800.0,10.769332482414741
851138000.0,10.8312011687555
870963600.0,10.893866583920165
